PDB Penggunaan (Seri 2010),[Seri 2010] PDB menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harga Konstan 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV
b. Konsumsi Individu,62808.96,79421.71,-,-,59035.71,78235.2,81419.34,106691.12,57646.01,77275.71,81349.13,105706.05,55666.33,72304.54,75368.78,101961.14,53537.58,72321.04,71469.44,99309.56,51899.78,69873.47,72007.52,104791.1,49986.61,61866.16,69344.68,95489.44,46514.41,62707.72,69111.03,93588.83,44616.89,64087.66,59662.48,92564.46,38739.44,51780.46,59947.26,93839.35,37431.79,52392.69,60783.23,86506.79
4. Pembentukan Modal Tetap Domestik Bruto,876315.84,791199.66,-,-,861640.89,865774.7,917553.03,951395.11,820401.04,828060.11,880471.86,914309.16,760189.98,782620.7,823497.8,862454.52,725586.64,742915.46,769037.14,804045.44,693216.77,713107.13,737766.63,767265.46,662774.26,685670.41,703109.97,720916.13,628573.64,659187.45,673791.17,692822.78,584460.64,626152.32,637811.69,679304.13,546295.29,568551.72,582733.97,618778.12,502873.55,523471.69,541676.74,559818.69
a. Bangunan,663115.71,614245.37,-,-,645280.75,648328.86,679372.09,714321.39,611732.91,614783.89,646837.66,676917.13,576435.92,585748.51,612509.3,644578.09,544473.37,552231.51,576301.17,604203.97,509890.87,525591.91,549086.66,580565.71,482360.17,501895.76,517454.53,538676.48,457181.25,478407.78,495100.53,502982.45,423271.62,442857.12,461944.87,483484.39,401372.53,415367.6,423960.24,434688.3,379699.3,391250.79,404412.62,405072.3
b. Mesin dan Perlengkapan,87877.92,76854.31,-,-,91463.63,88203.06,105040.8,102294.38,84372.49,82296.43,97450.6,104704.2,68189.1,67309.52,79793.09,93248.7,67371.62,68812.49,69294.96,76244.02,73414.31,74239.71,76545.22,77707.3,74312.58,77542.86,74426.16,73872.6,74977.52,76078.36,76286.83,80439.71,72145.78,77351.53,78142.44,79014.53,61229.3,66814.63,68669.91,76702.5,49206.09,53400.61,56955.73,60815.32
c. Kendaraan,48635.15,31142.72,-,-,47346.78,47270.55,48779.61,50123.26,51113.31,48337.88,52078.87,51160.93,44690.45,44754.92,49816.46,47196.71,35667.03,39770.29,47312.68,48529.91,35748.15,37799.38,41242.55,38097.3,37622.96,40320.88,38626.9,35519.73,39747.32,42811.78,40677.94,38355.45,39037.07,42851.85,41871.53,47498.44,30205.87,32123.84,37919.86,42762.67,29429.4,29308.91,32545.62,31810.9
d. Peralatan Lainnya,14361.45,10155.62,-,-,14026.39,13741.14,15183.24,15162.73,15043.71,14304.19,15356.21,15203.5,12769.93,13341.63,14101.81,15162.61,12837.44,11756.07,12071.31,14020.96,10158.38,10815.58,11902.55,12010.92,9491.22,9959.02,10562.91,10899.96,9092.81,9155.38,9066.44,10157.5,8558.88,9156.43,8948.21,9244.12,8272.62,8262.7,8618.68,9193.73,6949.25,7341.22,7855.84,8614.76
e. CBR,43485,39930.77,-,-,43504.46,46918.68,47243.73,50783.83,39794.44,46982.12,45867.7,46742.03,39982.14,46970.68,44729.38,44151.73,44837.32,46028,40710.26,42511.11,43842.44,41550.23,39954.13,40779.1,40229.04,34975.03,40655.85,44444.4,32873.85,36752.13,35884.48,43569.74,29059.47,35995.69,34788.93,46923.1,30150.64,33524.92,31668.61,44264.53,26425.76,29271.57,30394.5,39571.61
f. Produk Kekayaan Intelektual,18840.62,18870.87,-,-,20018.87,21312.41,21933.56,18709.51,18344.18,21355.6,22880.82,19581.37,18122.45,24495.43,22547.77,18116.68,20399.85,24317.1,23346.76,18535.47,20162.62,23110.32,19035.51,18105.13,18758.29,20976.85,21383.62,17502.95,14700.89,15982.02,16774.95,17317.93,12387.82,17939.7,12115.7,13139.56,15064.33,12458.04,11896.67,11166.4,11163.76,12898.6,9512.43,13933.79
5. Perubahan Inventori,50546.33,66004.87,-,-,61523.99,59179.55,35709.17,-26458.87,68765.6,81439.27,45518.35,1646.41,60428.52,57137.14,46060.51,-36742.61,53056.15,56147.8,60856.23,-36660.03,55061.13,57014.65,58384.68,-57612.55,57527.38,74379.36,43563.84,-11887.96,60975.81,78636.43,15726.13,-30884.81,82372.21,67575.42,34965.99,-10730.52,63971.24,54630.48,43030.89,-43425.27,25406.36,50400.53,81674.62,-28386.91
6. Ekspor Barang dan Jasa,546420.06,476443.59,-,-,545148.25,539333.25,598970.38,583667.8,553884.99,548855.24,598396.17,585953.51,523324.33,510668.86,552347.63,560223.69,483046.66,497198.62,474544.39,516392.97,498372.62,504800.7,504268.13,497025.53,501516.86,506111.51,509141.53,531117.21,486240.56,498870.82,485152.35,555849.94,469816.46,488592.47,478757.77,507897,439727.76,480363.29,491564.62,502612.27,394901.82,400357.77,405394.73,467263.51
