income_group,date,consumer_confidence_index
2.1_3,2015-11-01,104.8
2.1_3,2015-12-01,108.2
2.1_3,2016-01-01,111.6
2.1_3,2016-02-01,108.6
2.1_3,2016-03-01,110.9
2.1_3,2016-04-01,111
2.1_3,2016-05-01,111.9
2.1_3,2016-06-01,115.8
2.1_3,2016-07-01,110.2
2.1_3,2016-08-01,110.5
2.1_3,2016-09-01,107.8
2.1_3,2016-10-01,113.1
2.1_3,2016-11-01,114.2
2.1_3,2016-12-01,110.4
2.1_3,2017-01-01,118.00476497395002
2.1_3,2017-02-01,116.6598357712644
2.1_3,2017-03-01,124.1131253366938
2.1_3,2017-04-01,123.05768738605101
2.1_3,2017-05-01,127.34188970217727
2.1_3,2017-06-01,122.55538926426456
2.1_3,2017-07-01,123.09965484474789
2.1_3,2017-08-01,120.07375077903154
2.1_3,2017-09-01,125.90389669585733
2.1_3,2017-10-01,119.47472837407341
2.1_3,2017-11-01,124.52756943692357
2.1_3,2017-12-01,126.6111558418296
2.1_3,2018-01-01,127.6544598082219
2.1_3,2018-02-01,124.43827289777045
2.1_3,2018-03-01,123.79330694783329
2.1_3,2018-04-01,122.78897975846687
2.1_3,2018-05-01,125.31673703707949
2.1_3,2018-06-01,129.412518181872
2.1_3,2018-07-01,125.92905475903345
2.1_3,2018-08-01,122.13834110180373
2.1_3,2018-09-01,125.40493069028194
2.1_3,2018-10-01,120.41348773612833
2.1_3,2018-11-01,123.82136941860969
2.1_3,2018-12-01,127.84949231550746
2.1_3,2019-01-01,126.11533584316442
2.1_3,2019-02-01,130.1815220627502
2.1_3,2019-03-01,124.9230660200299
2.1_3,2019-04-01,128.41722995655527
2.1_3,2019-05-01,128.86456472264763
2.1_3,2019-06-01,126.80508928831492
2.1_3,2019-07-01,129.1423789093095
2.1_3,2019-08-01,123.11811129175602
2.1_3,2019-09-01,122.511751770236
2.1_3,2019-10-01,118.23710534171178
2.1_3,2019-11-01,125.53239864346679
2.1_3,2019-12-01,128.69260000116915
2.1_3,2020-01-01,123.17263153392258
2.1_3,2020-02-01,114.87021227537093
2.1_3,2020-03-01,117.9496864734135
2.1_3,2020-04-01,87.51476620515659
2.1_3,2020-05-01,77.87509421525671
2.1_3,2020-06-01,84.67516975390659
2.1_3,2020-07-01,87.57428749724674
2.1_3,2020-08-01,88.8091537481996
2.1_3,2020-09-01,84.85601096451052
2.1_3,2020-10-01,79.72175843771623
2.1_3,2020-11-01,93.82942807101993
2.1_3,2020-12-01,95.18177548430214
2.1_3,2021-01-01,82.73471686526
2.1_3,2021-02-01,86.62187176545494
2.1_3,2021-03-01,90.19752128098804
2.1_3,2021-04-01,103.45597853273375
2.1_3,2021-05-01,100.95064050992619
3.1_4,2012-01-01,117.40467404674047
3.1_4,2012-02-01,115.1407055093143
3.1_4,2012-03-01,109.36507936507937
3.1_4,2012-04-01,106.55836341756918
3.1_4,2012-05-01,110.99534079993663
3.1_4,2012-06-01,110.4703247480403
3.1_4,2012-07-01,118.95083236546651
3.1_4,2012-08-01,113.70182126217705
3.1_4,2012-09-01,113.79093198992442
3.1_4,2012-10-01,114.46608946608947
3.1_4,2012-11-01,113.60094850948511
3.1_4,2012-12-01,114.02097263904247
3.1_4,2013-01-01,117.5
3.1_4,2013-02-01,119.7
3.1_4,2013-03-01,121.6
3.1_4,2013-04-01,117.2
3.1_4,2013-05-01,119.2
3.1_4,2013-06-01,124.3
3.1_4,2013-07-01,116
3.1_4,2013-08-01,112.1
3.1_4,2013-09-01,110.5
3.1_4,2013-10-01,107.8
3.1_4,2013-11-01,112
3.1_4,2013-12-01,116.5
3.1_4,2014-01-01,118.1
3.1_4,2014-02-01,119.8
3.1_4,2014-03-01,125.6
3.1_4,2014-04-01,115.2
3.1_4,2014-05-01,116.9
3.1_4,2014-06-01,126.2
3.1_4,2014-07-01,128.7
3.1_4,2014-08-01,123.8
3.1_4,2014-09-01,121
3.1_4,2014-10-01,124.6
3.1_4,2014-11-01,124.7
3.1_4,2014-12-01,123.2
3.1_4,2015-01-01,120.6
3.1_4,2015-02-01,121.4
3.1_4,2015-03-01,117.4
3.1_4,2015-04-01,109
3.1_4,2015-05-01,111.9
3.1_4,2015-06-01,112.1
3.1_4,2015-07-01,113.1
3.1_4,2015-08-01,112.3
3.1_4,2015-09-01,100.2
3.1_4,2015-10-01,101.2
3.1_4,2015-11-01,102.8
3.1_4,2015-12-01,108.2
3.1_4,2016-01-01,111.9
3.1_4,2016-02-01,115.1
3.1_4,2016-03-01,109.7
3.1_4,2016-04-01,112.2
3.1_4,2016-05-01,112.6
3.1_4,2016-06-01,114.9
3.1_4,2016-07-01,112.8
3.1_4,2016-08-01,108.9
3.1_4,2016-09-01,108.8
3.1_4,2016-10-01,110.1
3.1_4,2016-11-01,110.6
3.1_4,2016-12-01,110.2
3.1_4,2017-01-01,115.04288405952467
3.1_4,2017-02-01,118.9049896599872
3.1_4,2017-03-01,123.89034145980813
3.1_4,2017-04-01,120.96357487112454
3.1_4,2017-05-01,127.09419649934804
3.1_4,2017-06-01,118.92476723510663
3.1_4,2017-07-01,126.48109455006536
3.1_4,2017-08-01,121.9922053116101
3.1_4,2017-09-01,122.50328409739728
3.1_4,2017-10-01,122.52481855524965
3.1_4,2017-11-01,122.94066345541384
3.1_4,2017-12-01,127.26232518847253
3.1_4,2018-01-01,125.17022878901365
3.1_4,2018-02-01,120.84299847491911
3.1_4,2018-03-01,121.28962460552626
3.1_4,2018-04-01,121.69332745109242
3.1_4,2018-05-01,123.83344244251873
3.1_4,2018-06-01,130.99139749432348
3.1_4,2018-07-01,125.42395271432682
3.1_4,2018-08-01,121.09794147011415
3.1_4,2018-09-01,120.00418857637808
3.1_4,2018-10-01,119.71437759167742
3.1_4,2018-11-01,123.45891449301175
3.1_4,2018-12-01,127.1919606402076
3.1_4,2019-01-01,125.9798617234311
3.1_4,2019-02-01,126.20115260571413
3.1_4,2019-03-01,123.26048577990406
3.1_4,2019-04-01,128.85844492061779
3.1_4,2019-05-01,127.35778627291216
3.1_4,2019-06-01,126.23477088374439
3.1_4,2019-07-01,123.23165115571165
3.1_4,2019-08-01,123.58087500976868
3.1_4,2019-09-01,121.16929655612307
3.1_4,2019-10-01,118.2456212477894
3.1_4,2019-11-01,122.26717233203117
3.1_4,2019-12-01,123.11656248698569
3.1_4,2020-01-01,122.13278872543398
3.1_4,2020-02-01,118.1147122248735
3.1_4,2020-03-01,111.81549570110982
3.1_4,2020-04-01,80.5947811044104
3.1_4,2020-05-01,76.99343249822715
3.1_4,2020-06-01,77.74864696321156
