category,date,retail_sales_index,pct_change_yoy
Other goods,2018-03-01,152.19,20.04
Other goods,2018-04-01,154.73,21.4
Other goods,2018-05-01,191.6,34.9
Other goods,2018-06-01,213.89,8.1
Other goods,2018-07-01,184.59,25.86
Other goods,2018-08-01,189.39,36.54
Other goods,2018-09-01,189.63,42.97
Other goods,2018-10-01,193.6,44.26
Other goods,2018-11-01,202.28,51.17
Other goods,2018-12-01,210.81,48.26
Other goods,2019-01-01,205.61,51.05
Other goods,2019-02-01,194.49,41.58
Other goods,2019-03-01,216.07,41.97
Other goods,2019-04-01,214.11,38.38
Other goods,2019-05-01,288.8,50.73
Other goods,2019-06-01,232.26,8.59
Other goods,2019-07-01,195.86,6.11
Other goods,2019-08-01,183.56,-3.08
Other goods,2019-09-01,164.44,-13.28
Other goods,2019-10-01,167.22,-13.63
Other goods,2019-11-01,161.94,-19.94
Other goods,2019-12-01,189.2,-10.25
Other goods,2020-01-01,147.29,-28.36
Other goods,2020-02-01,131.56,-32.36
Other goods,2020-03-01,103.34,-52.17
Other goods,2020-04-01,67.53,-68.46
Other goods,2020-05-01,78.33,-72.88
Other goods,2020-06-01,71.74,-69.11
Other goods,2020-07-01,77.74,-60.31
Other goods,2020-08-01,79.52,-56.68
Other goods,2020-09-01,79.26,-51.8
Other goods,2020-10-01,77.73,-53.52
Other goods,2020-11-01,78.88,-51.29
Other goods,2020-12-01,85.1,-55.02
Other goods,2021-01-01,81.77,-44.48
Other goods,2021-02-01,73.49,-44.14
Other goods,2021-03-01,85.65,-17.12
Other goods,2021-04-01,100.06,48.17
Other goods,2021-05-01,112.1,43.11
Other goods,2021-06-01,99.16,38.22
Clothes,2012-01-01,122.36,NA
Clothes,2012-02-01,110.75,NA
Clothes,2012-03-01,114.66,NA
Clothes,2012-04-01,112.96,NA
Clothes,2012-05-01,123.94,NA
Clothes,2012-06-01,130.87,NA
Clothes,2012-07-01,157.8,NA
Clothes,2012-08-01,204.95,NA
Clothes,2012-09-01,124.16,NA
Clothes,2012-10-01,119.74,NA
Clothes,2012-11-01,121.3,NA
Clothes,2012-12-01,139.49,NA
Clothes,2013-01-01,126.6,3.47
Clothes,2013-02-01,125.81,13.6
Clothes,2013-03-01,131.15,14.38
Clothes,2013-04-01,139.78,23.74
Clothes,2013-05-01,154.13,24.36
Clothes,2013-06-01,173.12,32.28
Clothes,2013-07-01,245.65,55.67
Clothes,2013-08-01,214.29,4.56
Clothes,2013-09-01,144.44,16.33
Clothes,2013-10-01,150.7,25.86
Clothes,2013-11-01,151.49,24.89
Clothes,2013-12-01,169.75,21.69
Clothes,2014-01-01,162.68,28.5
Clothes,2014-02-01,157.71,25.36
Clothes,2014-03-01,169.73,29.42
Clothes,2014-04-01,169.41,21.2
Clothes,2014-05-01,179.41,16.4
Clothes,2014-06-01,193.57,11.81
Clothes,2014-07-01,250.53,1.99
Clothes,2014-08-01,168.07,-21.57
Clothes,2014-09-01,159.64,10.52
Clothes,2014-10-01,163.86,8.73
Clothes,2014-11-01,166.6,9.97
Clothes,2014-12-01,181.09,6.68
Clothes,2015-01-01,163.46,0.48
Clothes,2015-02-01,160.67,1.88
Clothes,2015-03-01,160.12,-5.66
Clothes,2015-04-01,166.11,-1.95
Clothes,2015-05-01,169.43,-5.56
Clothes,2015-06-01,174.52,-9.84
Clothes,2015-07-01,242.78,-3.09
Clothes,2015-08-01,158.08,-5.94
Clothes,2015-09-01,139.71,-12.48
Clothes,2015-10-01,146.87,-10.37
Clothes,2015-11-01,143.34,-13.96
Clothes,2015-12-01,154.05,-14.93
Clothes,2016-01-01,148.13,-9.38
Clothes,2016-02-01,131.36,-18.24
Clothes,2016-03-01,134.81,-15.81
Clothes,2016-04-01,136.05,-18.1
Clothes,2016-05-01,144.35,-14.8
Clothes,2016-06-01,181.24,3.85
Clothes,2016-07-01,170.41,-29.81
Clothes,2016-08-01,139.88,-11.51
Clothes,2016-09-01,141.56,1.32
Clothes,2016-10-01,138.92,-5.41
Clothes,2016-11-01,136.22,-4.97
Clothes,2016-12-01,149.05,-3.25
Clothes,2017-01-01,135.27,-8.68
Clothes,2017-02-01,125.16,-4.72
Clothes,2017-03-01,130.34,-3.32
Clothes,2017-04-01,131.74,-3.17
Clothes,2017-05-01,143.46,-0.62
Clothes,2017-06-01,209.65,15.68
Clothes,2017-07-01,154.52,-9.32
Clothes,2017-08-01,144.06,2.99
Clothes,2017-09-01,139.35,-1.56
Clothes,2017-10-01,138.96,0.03
Clothes,2017-11-01,139.25,2.22
Clothes,2017-12-01,146.46,-1.74
Clothes,2018-01-01,142.01,4.98
Clothes,2018-02-01,137.96,10.23
Clothes,2018-03-01,140.68,7.93
Clothes,2018-04-01,144.91,10
Clothes,2018-05-01,167.18,16.53
Clothes,2018-06-01,186.21,-11.18
Clothes,2018-07-01,174.61,13
Clothes,2018-08-01,173.42,20.38
Clothes,2018-09-01,178.44,28.05
Clothes,2018-10-01,173.16,24.61
Clothes,2018-11-01,179.69,29.04
Clothes,2018-12-01,187.28,27.87
Clothes,2019-01-01,181.57,27.86
Clothes,2019-02-01,184.52,33.75
Clothes,2019-03-01,198.63,41.19
Clothes,2019-04-01,177.94,22.79
Clothes,2019-05-01,240.63,43.93
Clothes,2019-06-01,215.55,15.76
Clothes,2019-07-01,185.7,6.35
Clothes,2019-08-01,178.34,2.84
Clothes,2019-09-01,160.81,-9.88
Clothes,2019-10-01,158.22,-8.63
Clothes,2019-11-01,162.81,-9.39
Clothes,2019-12-01,188.66,0.74
Clothes,2020-01-01,131.56,-27.54
Clothes,2020-02-01,109.95,-40.41
Clothes,2020-03-01,78.42,-60.52
Clothes,2020-04-01,51.77,-70.91
Clothes,2020-05-01,62.49,-74.03
Clothes,2020-06-01,56.68,-73.7
Clothes,2020-07-01,62.21,-66.5
Clothes,2020-08-01,62.69,-64.85
Clothes,2020-09-01,64.8,-59.7
Clothes,2020-10-01,66.35,-58.06
Clothes,2020-11-01,70.6,-56.64
Clothes,2020-12-01,76.11,-59.66
Clothes,2021-01-01,70.67,-46.28
Clothes,2021-02-01,64.5,-41.34
Clothes,2021-03-01,69.93,-10.83
Clothes,2021-04-01,80.32,55.15
Clothes,2021-05-01,95.12,52.22
Clothes,2021-06-01,87.19,53.83
